"id4","sex","AGECAT"
3303,"Boy",13
7443,"Girl",15
1297,"Girl",11
4775,"Boy",13
1906,"Girl",11
1149,"Boy",11
2749,"Girl",13
2391,"Girl",11
3773,"Boy",13
4944,"Boy",13
2806,"Boy",13
215,"Boy",11
4540,"Boy",13
2843,"Boy",13
2718,"Girl",13
5501,"Girl",15
6332,"Girl",15
796,"Girl",11
7631,"Boy",15
82,"Girl",11
2073,"Boy",11
792,"Boy",11
404,"Boy",11
7411,"Boy",15
6271,"Boy",15
2936,"Girl",13
6976,"Girl",15
4621,"Girl",13
3089,"Boy",13
7702,"Boy",15
5735,"Boy",15
721,"Boy",11
1076,"Girl",11
5156,"Boy",15
5531,"Girl",15
686,"Girl",11
6772,"Boy",15
3595,"Boy",13
5302,"Boy",15
5556,"Boy",15
7068,"Girl",15
4447,"Girl",13
1081,"Boy",11
3298,"Boy",13
2298,"Girl",11
1563,"Boy",11
5351,"Girl",15
2826,"Girl",13
7161,"Boy",15
3550,"Boy",13
5992,"Boy",15
7664,"Boy",15
4663,"Girl",13
5625,"Girl",15
2887,"Boy",13
3031,"Boy",13
4071,"Girl",13
4416,"Boy",13
1063,"Boy",11
3113,"Girl",13
585,"Girl",11
1510,"Girl",11
6217,"Girl",15
481,"Boy",11
5734,"Girl",15
3077,"Girl",13
4136,"Boy",13
6712,"Girl",15
3838,"Boy",13
4189,"Girl",13
6425,"Boy",15
7170,"Boy",15
1015,"Boy",11
5049,"Boy",15
3978,"Boy",13
6727,"Boy",15
5413,"Girl",15
6416,"Boy",15
2180,"Boy",11
1470,"Boy",11
6315,"Girl",15
4994,"Girl",13
1534,"Boy",11
764,"Boy",11
4123,"Boy",13
7572,"Girl",15
7064,"Girl",15
985,"Girl",11
5541,"Girl",15
4620,"Boy",13
280,"Boy",11
2797,"Boy",13
1567,"Girl",11
6367,"Boy",15
7044,"Girl",15
5815,"Girl",15
1564,"Boy",11
3251,"Girl",13
7080,"Boy",15
5914,"Boy",15
74,"Boy",11
3895,"Girl",13
4737,"Girl",13
1903,"Boy",11
2087,"Girl",11
226,"Girl",11
6996,"Boy",15
3594,"Boy",13
2201,"Boy",11
5198,"Girl",15
7173,"Girl",15
1798,"Girl",11
2786,"Boy",13
2342,"Girl",11
1664,"Boy",11
2846,"Girl",13
194,"Boy",11
4625,"Boy",13
84,"Girl",11
1095,"Girl",11
2403,"Girl",11
3100,"Girl",13
2755,"Boy",13
5023,"Girl",13
1338,"Boy",11
3658,"Girl",13
5424,"Boy",15
2911,"Boy",13
3943,"Girl",13
2975,"Boy",13
4873,"Boy",13
4829,"Girl",13
7613,"Boy",15
5946,"Girl",15
6107,"Girl",15
5816,"Girl",15
2181,"Girl",11
6165,"Girl",15
4939,"Girl",13
4787,"Boy",13
5096,"Girl",15
3825,"Boy",13
5016,"Girl",13
5464,"Girl",15
2771,"Girl",13
2095,"Boy",11
3065,"Girl",13
5513,"Girl",15
4032,"Boy",13
2212,"Boy",11
5272,"Boy",15
2555,"Girl",11
6171,"Girl",15
401,"Girl",11
6857,"Girl",15
4596,"Girl",13
3598,"Boy",13
6497,"Girl",15
3293,"Girl",13
1492,"Girl",11
275,"Boy",11
6875,"Boy",15
5109,"Boy",15
6063,"Girl",15
6440,"Girl",15
4822,"Girl",13
4996,"Girl",15
5442,"Boy",15
1220,"Girl",11
2236,"Girl",11
1917,"Boy",11
2694,"Boy",13
4267,"Boy",13
3355,"Girl",13
4654,"Girl",13
4919,"Girl",13
4204,"Boy",13
6794,"Boy",15
1237,"Boy",11
6144,"Boy",15
6659,"Boy",15
6006,"Girl",15
7562,"Girl",15
1146,"Boy",11
829,"Boy",11
600,"Boy",11
2847,"Girl",13
542,"Girl",11
5395,"Boy",15
1818,"Boy",11
5352,"Boy",15
1198,"Boy",11
7458,"Boy",15
3359,"Girl",13
5526,"Girl",15
3824,"Boy",13
4310,"Boy",13
5532,"Girl",15
1291,"Boy",11
3922,"Girl",13
529,"Boy",11
5568,"Girl",15
5485,"Boy",15
7433,"Boy",15
2327,"Boy",11
3133,"Boy",13
7021,"Boy",15
4656,"Girl",13
1671,"Girl",11
586,"Boy",11
3180,"Boy",13
6526,"Boy",15
261,"Boy",11
1286,"Girl",11
2320,"Girl",11
376,"Girl",11
7476,"Girl",15
4322,"Boy",13
6278,"Girl",15
2284,"Boy",11
1465,"Boy",11
6892,"Boy",15
87,"Girl",11
3999,"Girl",13
4427,"Boy",13
7619,"Girl",15
3537,"Boy",13
6975,"Girl",15
3592,"Boy",13
430,"Boy",11
6846,"Girl",15
4233,"Boy",13
204,"Girl",11
3718,"Boy",13
6252,"Girl",15
3977,"Boy",13
7824,"Girl",15
203,"Boy",11
627,"Boy",11
6087,"Boy",15
4262,"Boy",13
625,"Girl",11
5140,"Boy",15
6508,"Boy",15
5408,"Boy",15
6556,"Boy",15
4117,"Girl",13
6381,"Girl",15
417,"Boy",11
2576,"Boy",11
5453,"Girl",15
1478,"Boy",11
2149,"Girl",11
5143,"Boy",15
2989,"Boy",13
5955,"Boy",15
1935,"Boy",11
7865,"Girl",15
7588,"Girl",15
5451,"Boy",15
3035,"Boy",13
320,"Girl",11
1156,"Girl",11
386,"Girl",11
831,"Boy",11
6867,"Girl",15
1020,"Boy",11
6525,"Girl",15
3434,"Girl",13
2340,"Girl",11
6465,"Boy",15
5998,"Girl",15
5471,"Girl",15
6612,"Boy",15
966,"Girl",11
2573,"Boy",11
6956,"Boy",15
3853,"Boy",13
3105,"Boy",13
3227,"Girl",13
2765,"Girl",13
5445,"Boy",15
7516,"Boy",15
5898,"Boy",15
365,"Girl",11
6732,"Boy",15
1344,"Boy",13
6500,"Girl",15
5193,"Girl",15
1793,"Girl",11
843,"Girl",11
1963,"Girl",11
2964,"Boy",13
3739,"Boy",13
6852,"Boy",15
3078,"Girl",13
5183,"Girl",15
35,"Boy",11
6274,"Girl",15
2354,"Boy",11
4747,"Girl",13
5218,"Girl",15
2297,"Boy",11
4846,"Boy",13
6968,"Boy",15
2206,"Boy",11
5072,"Boy",15
7066,"Girl",15
1591,"Girl",11
79,"Girl",11
3505,"Girl",13
1056,"Boy",11
3226,"Girl",13
7115,"Girl",15
2953,"Boy",13
4913,"Boy",13
1485,"Boy",11
3423,"Girl",13
7501,"Girl",15
4304,"Girl",13
362,"Boy",11
2802,"Girl",13
7687,"Girl",15
4690,"Girl",13
587,"Girl",11
1246,"Boy",11
842,"Girl",11
1272,"Girl",11
3960,"Girl",13
3586,"Girl",13
6263,"Girl",15
1626,"Girl",11
2848,"Girl",13
4070,"Boy",13
865,"Boy",11
4476,"Girl",13
2138,"Boy",11
2750,"Boy",13
3501,"Girl",13
4688,"Girl",13
5576,"Boy",15
5571,"Girl",15
899,"Boy",11
4929,"Boy",13
3016,"Girl",15
37,"Girl",11
5516,"Girl",15
2040,"Boy",11
5229,"Boy",15
1921,"Girl",11
6662,"Girl",15
3119,"Girl",13
6062,"Girl",15
5286,"Girl",15
2588,"Girl",11
910,"Girl",11
3581,"Girl",13
1612,"Girl",11
5499,"Boy",15
5866,"Girl",15
3124,"Girl",13
7093,"Girl",15
220,"Girl",11
1936,"Boy",11
4116,"Girl",13
7415,"Girl",15
3393,"Girl",13
4144,"Girl",13
431,"Boy",11
322,"Girl",11
2096,"Girl",11
932,"Boy",11
4253,"Boy",13
7303,"Boy",15
7000,"Girl",15
1681,"Girl",11
6894,"Boy",15
2867,"Girl",13
2637,"Girl",11
6265,"Girl",15
757,"Boy",11
2833,"Girl",13
6391,"Boy",15
2074,"Girl",11
1399,"Girl",11
7402,"Girl",15
2434,"Boy",11
3842,"Girl",13
1970,"Girl",11
3137,"Boy",13
1439,"Girl",11
2958,"Girl",13
2600,"Boy",11
1693,"Girl",11
3118,"Boy",13
6761,"Girl",15
3314,"Girl",13
5780,"Boy",15
6656,"Boy",15
3926,"Boy",13
4573,"Girl",13
4584,"Boy",13
5537,"Boy",15
7663,"Girl",15
1115,"Boy",11
7253,"Boy",15
3473,"Boy",13
4754,"Girl",13
784,"Boy",11
6376,"Boy",15
1280,"Boy",11
7604,"Girl",15
5247,"Boy",15
