"","ppvt","momage","hs_degree"
"1",120,21,1
"2",89,17,0
"3",78,19,1
"4",42,20,0
"5",115,26,1
"6",97,20,0
"7",94,20,0
"8",68,24,1
"9",103,19,1
"10",94,24,1
"11",117,24,1
"12",64,29,1
"13",72,19,1
"14",104,23,1
"15",78,26,1
"16",62,22,0
"17",73,21,0
"18",79,21,1
"19",101,22,1
"20",88,25,1
"21",102,24,1
"22",107,26,1
"23",56,21,0
"24",102,22,1
"25",88,26,1
"26",92,23,1
"27",85,20,0
"28",102,29,1
"29",90,26,1
"30",97,28,1
"31",92,19,1
"32",98,23,1
"33",85,21,1
"34",92,28,1
"35",100,26,1
"36",86,19,1
"37",85,21,1
"38",56,20,1
"39",102,24,1
"40",106,23,1
"41",78,23,0
"42",58,24,1
"43",84,27,1
"44",61,28,1
"45",102,23,1
"46",56,24,1
"47",101,27,1
"48",46,20,1
"49",42,21,1
"50",108,22,1
"51",64,23,1
"52",97,24,1
"53",86,24,1
"54",82,19,1
"55",100,23,0
"56",104,23,1
"57",91,22,1
"58",102,23,1
"59",91,23,1
"60",101,17,0
"61",40,20,0
"62",86,19,1
"63",83,24,1
"64",73,22,1
"65",80,23,1
"66",98,21,1
"67",52,26,1
"68",92,26,1
"69",107,29,1
"70",94,22,1
"71",79,26,1
"72",75,19,0
"73",108,22,1
"74",77,23,1
"75",104,26,1
"76",104,26,1
"77",72,19,1
"78",109,24,1
"79",92,19,1
"80",69,25,1
"81",103,28,1
"82",109,27,1
"83",43,18,0
"84",61,21,1
"85",89,22,1
"86",75,23,0
"87",116,22,1
"88",104,29,1
"89",99,22,1
"90",75,23,0
"91",102,21,1
"92",106,24,1
"93",136,19,0
"94",67,22,1
"95",88,24,1
"96",82,27,1
"97",67,28,0
"98",87,21,1
"99",76,21,1
"100",72,21,1
"101",112,23,1
"102",112,24,1
"103",90,26,1
"104",95,26,0
"105",52,25,1
"106",70,20,1
"107",106,22,0
"108",97,22,0
"109",54,22,0
"110",98,25,1
"111",94,24,1
"112",109,22,1
"113",66,23,1
"114",114,24,1
"115",97,23,1
"116",91,23,1
"117",94,26,1
"118",87,24,0
"119",110,25,1
"120",38,22,1
"121",68,22,1
"122",58,23,1
"123",104,22,1
"124",84,25,1
"125",100,20,1
"126",82,22,0
"127",87,28,1
"128",113,27,1
"129",71,21,0
"130",50,24,0
"131",76,22,0
"132",59,21,0
"133",95,25,0
"134",120,26,1
"135",58,21,0
"136",73,23,1
"137",84,23,1
"138",111,18,0
"139",79,24,0
"140",93,20,0
"141",49,20,1
"142",101,20,1
"143",64,18,1
"144",90,22,1
"145",86,23,0
"146",95,20,1
"147",83,23,1
"148",84,20,1
"149",84,25,1
"150",41,19,0
"151",43,25,0
"152",42,26,0
"153",96,23,1
"154",83,26,1
"155",100,19,0
"156",101,25,1
"157",49,23,0
"158",86,23,1
"159",94,21,1
